,hospital_overall_rating,emergency_services,hospital_type,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison
148,,True,1,4,4,4,4,2,4
149,,True,2,4,4,4,4,2,4
150,3.0,True,2,2,4,2,4,4,1
151,,True,1,4,4,4,4,3,4
152,,True,1,4,4,4,4,4,4
153,,True,2,4,4,4,4,4,4
154,,True,2,4,4,4,4,4,4
155,4.0,True,2,2,4,2,4,2,1
156,,True,2,4,4,2,4,4,4
157,,True,2,4,4,4,4,4,4
158,4.0,True,1,1,2,1,3,2,2
159,4.0,True,1,2,1,1,3,1,3
160,4.0,True,1,1,1,3,3,1,3
161,2.0,True,1,2,3,2,3,2,3
162,,True,1,4,4,4,2,2,4
163,,True,3,4,4,4,4,4,4
164,2.0,True,1,3,3,2,3,2,1
165,4.0,True,1,2,2,1,1,2,1
166,3.0,True,1,2,2,2,3,2,1
167,,True,2,4,4,2,4,4,4
168,,True,2,4,4,4,4,4,4
169,,True,2,4,4,2,4,4,1
170,,True,2,4,4,4,4,4,4
171,4.0,True,2,2,2,2,1,2,4
172,3.0,True,1,2,2,2,1,1,3
173,,False,1,4,2,4,4,3,4
174,2.0,True,1,3,3,1,2,2,3
175,2.0,True,1,2,3,3,2,2,2
176,3.0,True,1,2,2,2,3,1,2
177,2.0,True,1,2,3,2,3,3,1
178,3.0,True,1,2,2,3,1,1,3
179,3.0,True,1,2,3,2,2,2,2
180,2.0,True,1,2,3,3,3,1,3
181,4.0,True,1,2,1,1,3,2,1
182,4.0,True,1,2,1,1,2,2,1
183,2.0,True,1,2,3,2,3,2,3
184,3.0,True,1,2,2,3,2,2,1
185,4.0,True,1,2,1,3,1,1,3
186,,True,3,4,4,4,4,4,4
187,2.0,True,1,2,4,3,4,3,4
188,,True,1,4,4,4,4,3,4
189,,True,1,4,4,3,4,3,4
190,,True,1,4,4,4,4,4,4
191,,True,1,4,4,4,4,4,4
192,,False,1,4,4,4,4,4,4
193,,True,1,2,4,2,4,4,4
194,,True,1,4,4,2,4,3,4
195,,True,1,4,4,4,4,4,4
196,2.0,True,1,3,2,2,4,3,4
197,,True,1,2,4,2,4,4,4
198,2.0,True,1,2,4,2,4,3,4
199,3.0,True,1,2,2,2,4,2,4
200,2.0,True,1,2,2,2,4,3,4
201,,True,1,4,4,4,4,4,4
202,2.0,True,1,2,4,2,4,3,4
203,2.0,True,1,2,2,3,4,3,4
204,,True,1,4,4,4,4,3,4
205,,True,1,4,4,4,4,3,4
206,,True,1,4,4,2,4,3,4
207,1.0,True,1,2,4,3,4,3,4
208,,True,1,4,4,2,4,3,4
209,,True,1,4,4,4,4,3,4
210,,True,1,4,4,4,4,4,4
211,1.0,True,1,2,4,2,4,3,4
212,2.0,True,1,2,2,2,4,3,4
213,,True,1,4,4,4,4,2,4
214,,True,1,4,4,2,4,4,4
215,,False,1,4,4,4,4,3,4
216,,True,1,4,4,4,4,4,4
217,,True,1,4,4,2,4,3,4
218,2.0,True,1,2,2,2,3,3,4
219,2.0,True,1,2,4,3,4,3,4
220,,True,1,4,4,4,4,4,4
221,2.0,True,1,2,4,3,4,1,4
222,2.0,True,1,2,4,3,4,3,4
223,,True,1,4,4,4,4,4,4
224,,True,1,4,4,4,4,4,4
225,,True,1,2,4,2,4,4,4
226,,True,1,4,4,2,4,3,4
