,hospital_overall_rating,emergency_services,hospital_type,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison
643,4.0,True,1,2,1,2,1,1,1
644,,True,2,2,4,2,4,4,4
645,3.0,True,1,3,2,2,1,2,2
646,,True,2,4,4,4,4,4,4
647,3.0,True,1,2,1,2,2,1,2
648,3.0,True,1,2,4,2,4,3,2
649,3.0,True,1,2,3,1,1,3,2
650,3.0,True,1,2,2,2,2,2,1
651,4.0,True,1,2,3,1,1,3,2
652,3.0,True,1,1,3,3,1,3,3
653,,True,2,2,4,3,4,4,4
654,2.0,True,1,1,2,3,3,3,3
655,4.0,True,1,2,1,1,1,2,3
656,4.0,True,1,2,2,2,2,1,3
657,1.0,True,1,3,3,3,2,2,2
658,3.0,True,1,2,1,3,2,1,3
659,3.0,True,1,4,2,4,2,2,4
660,2.0,True,1,3,2,2,3,3,3
661,3.0,True,1,2,2,2,3,1,4
662,3.0,True,1,2,1,2,3,2,2
663,2.0,True,1,1,3,3,3,2,3
664,3.0,True,1,2,2,2,3,1,2
665,3.0,True,1,1,1,3,3,1,2
666,2.0,True,1,2,3,1,3,2,3
667,,True,2,4,4,4,4,4,1
668,3.0,True,1,1,2,3,3,2,3
669,,True,2,2,4,2,4,4,4
670,3.0,True,1,3,1,2,2,2,2
671,3.0,True,1,1,2,3,3,1,2
672,3.0,True,2,2,4,2,2,3,4
673,3.0,True,1,2,2,3,3,1,1
674,,True,2,4,4,4,4,4,4
675,1.0,True,1,2,1,3,3,1,3
676,3.0,True,1,2,2,2,2,2,1
677,2.0,True,1,3,1,2,3,2,3
678,2.0,True,1,3,2,3,2,2,3
679,3.0,True,1,2,2,2,2,2,1
680,4.0,True,1,2,2,1,1,3,3
681,3.0,True,1,1,3,3,2,1,3
682,2.0,True,1,2,3,3,3,2,3
683,3.0,True,1,2,2,3,3,2,3
684,2.0,True,1,2,2,3,3,1,1
685,3.0,True,1,2,2,1,2,1,3
686,4.0,True,2,2,4,2,1,2,1
687,3.0,True,1,2,2,1,3,1,2
688,3.0,True,1,2,2,3,2,1,1
689,,True,3,4,2,4,4,4,4
690,2.0,True,1,2,2,3,3,2,3
691,2.0,True,1,2,3,2,3,2,2
692,3.0,True,1,4,2,4,1,2,4
693,3.0,True,1,2,2,1,2,1,3
694,3.0,True,1,2,2,1,3,2,2
695,,True,2,2,4,2,4,4,4
696,,True,2,4,4,4,4,4,4
697,2.0,True,1,2,2,3,3,1,3
698,,True,2,4,4,2,4,4,4
699,2.0,True,1,3,2,3,1,1,3
700,4.0,True,1,2,2,2,1,2,1
701,3.0,True,1,4,2,4,2,1,4
702,,False,1,4,4,4,4,4,4
703,2.0,True,1,2,2,2,3,3,3
704,3.0,True,1,2,2,1,2,2,3
705,4.0,True,1,2,4,2,1,2,1
706,3.0,True,2,4,4,2,4,2,1
707,3.0,True,2,4,4,2,4,2,1
708,2.0,True,1,3,1,2,3,1,3
709,2.0,True,1,2,3,2,3,2,2
710,3.0,True,1,2,1,3,1,2,3
711,2.0,True,1,2,2,2,3,2,3
712,1.0,True,1,2,3,3,2,2,3
713,3.0,True,1,1,2,2,3,2,3
714,4.0,True,1,2,1,2,2,1,1
715,3.0,True,1,2,1,3,1,2,3
716,4.0,True,1,2,1,1,3,1,2
717,2.0,True,1,3,3,1,1,3,3
718,,True,2,4,4,4,4,4,4
719,,False,1,4,4,4,4,4,4
720,3.0,True,1,2,2,2,2,3,2
721,1.0,True,1,4,3,4,3,2,3
722,2.0,True,1,2,2,3,2,2,2
723,3.0,True,1,1,3,1,3,1,3
724,2.0,True,1,2,2,2,3,1,3
725,4.0,True,1,2,2,2,1,1,2
726,3.0,True,1,3,1,1,3,1,2
727,3.0,True,1,2,1,2,1,1,2
728,3.0,True,1,2,1,3,2,3,3
729,3.0,True,1,4,2,4,2,1,4
730,2.0,True,1,2,2,2,3,3,3
731,2.0,True,1,2,3,3,3,1,3
732,3.0,True,1,4,2,4,3,1,4
733,3.0,True,1,2,2,2,2,2,3
734,,True,2,4,4,2,4,4,4
735,2.0,True,1,2,3,3,3,1,2
736,3.0,True,1,3,1,1,3,1,3
737,3.0,True,1,1,1,2,3,2,2
738,4.0,True,1,2,2,1,3,1,2
739,4.0,True,1,1,2,1,2,3,1
740,,False,1,4,4,4,1,2,4
741,3.0,True,1,1,1,3,2,2,1
742,3.0,True,1,2,1,3,3,2,2
743,4.0,True,1,1,1,2,3,1,2
744,3.0,True,1,2,1,2,3,2,2
745,3.0,True,1,2,1,1,3,2,2
746,2.0,True,1,2,2,2,3,2,2
747,3.0,True,1,1,2,2,3,1,2
748,3.0,True,1,3,2,1,3,1,3
749,2.0,True,1,1,3,3,3,1,3
750,3.0,True,1,2,1,2,3,2,2
751,4.0,True,1,2,1,3,1,2,1
752,,True,2,2,4,2,4,4,4
753,1.0,True,1,2,3,3,3,2,3
754,,True,2,4,4,4,4,4,4
755,3.0,True,1,2,3,1,3,2,2
756,3.0,True,1,2,2,2,2,2,2
757,,False,3,4,4,4,4,4,4
758,4.0,True,1,2,1,1,1,1,2
759,3.0,True,1,3,1,1,2,2,1
760,2.0,True,1,2,3,3,3,1,3
761,2.0,True,1,2,2,2,3,3,3
762,1.0,True,1,2,3,2,3,2,3
763,,True,2,4,4,2,4,4,4
764,3.0,True,1,1,1,3,2,2,3
765,5.0,True,1,4,1,4,1,2,4
766,,True,2,4,4,4,1,4,4
767,5.0,False,1,4,1,4,1,1,4
768,3.0,True,1,2,3,1,2,2,1
769,2.0,True,1,2,2,3,3,2,3
770,3.0,True,2,2,4,2,2,2,4
771,2.0,True,2,2,4,3,4,4,4
772,2.0,True,1,3,3,1,2,2,3
773,3.0,True,2,4,4,2,1,2,2
774,4.0,True,1,2,3,1,2,1,1
775,3.0,True,1,1,1,3,3,1,2
776,4.0,True,1,3,1,1,3,2,3
777,5.0,True,1,1,1,1,1,1,2
778,3.0,True,1,2,2,2,2,2,3
779,2.0,True,1,2,3,1,3,2,3
780,2.0,True,1,2,3,2,3,3,2
781,,True,2,4,4,4,4,4,4
782,,True,1,4,4,4,4,3,2
783,5.0,True,1,1,1,1,2,1,2
784,3.0,True,1,2,2,1,3,1,1
785,4.0,True,1,2,1,1,1,2,2
786,3.0,True,1,1,2,3,2,1,2
787,4.0,True,1,2,1,1,2,1,2
788,4.0,True,1,1,1,1,3,3,1
789,,True,2,4,4,4,4,4,4
790,5.0,False,1,4,2,4,1,2,4
791,3.0,True,2,2,2,2,2,2,3
792,3.0,True,1,2,2,3,3,1,3
793,3.0,True,1,2,2,2,2,2,2
794,3.0,True,1,2,2,2,3,2,2
795,3.0,True,1,2,1,3,3,2,3
796,1.0,True,1,1,3,3,3,2,3
797,4.0,True,1,2,2,1,1,2,2
798,2.0,True,1,2,2,2,3,3,3
799,2.0,True,1,2,2,2,3,2,2
800,2.0,True,1,2,3,3,3,2,2
801,3.0,True,2,2,4,2,4,2,1
802,,True,2,4,4,4,4,4,4
803,,True,2,4,4,4,4,2,1
804,3.0,True,1,2,2,2,2,2,1
805,2.0,True,1,1,3,3,2,2,3
806,2.0,True,1,2,3,3,3,1,3
807,,True,2,4,4,2,2,4,4
808,3.0,True,1,1,2,3,2,1,3
809,3.0,True,1,2,2,2,1,1,2
810,2.0,True,1,2,3,3,3,1,2
811,2.0,True,1,2,1,3,3,2,3
812,3.0,True,1,1,1,3,2,2,3
813,3.0,True,1,2,1,3,3,2,3
814,3.0,True,1,2,2,2,3,2,1
815,3.0,True,1,2,2,2,2,2,2
816,2.0,True,1,2,3,3,3,2,3
817,2.0,True,1,2,1,3,3,1,3
818,2.0,False,1,2,4,2,3,2,4
819,3.0,True,1,3,2,2,2,2,1
820,3.0,True,1,2,2,1,3,1,3
821,1.0,True,1,2,3,3,3,2,3
822,3.0,True,1,2,3,3,3,1,1
823,3.0,True,1,2,2,1,3,2,2
824,,True,2,4,4,2,4,4,4
825,4.0,True,1,1,2,1,3,1,3
826,,True,2,2,4,2,4,4,4
827,3.0,True,1,2,1,2,3,1,3
828,,True,3,4,4,4,4,4,4
829,2.0,True,1,2,3,3,1,2,3
830,3.0,False,1,2,2,3,1,2,4
831,2.0,True,1,2,3,2,3,1,3
832,3.0,True,1,2,2,1,3,2,1
833,,True,2,4,4,4,4,4,4
834,,True,1,4,4,4,4,2,4
835,3.0,True,1,2,1,2,2,3,3
836,4.0,True,1,4,1,2,1,2,2
837,,True,2,4,4,4,4,4,4
838,2.0,True,1,4,2,4,3,2,3
839,2.0,True,1,2,2,3,3,2,1
840,,True,2,4,4,4,4,4,4
841,3.0,True,1,4,2,4,2,1,4
842,2.0,True,1,2,3,2,3,1,2
843,4.0,True,1,2,1,2,1,1,2
844,3.0,True,1,2,2,2,3,2,3
845,4.0,True,1,2,1,1,1,1,3
846,,False,1,4,4,4,4,4,4
847,3.0,True,1,1,1,3,3,1,1
848,3.0,True,1,1,1,1,3,2,3
849,4.0,True,1,2,1,1,1,1,1
850,3.0,True,2,2,4,2,4,4,1
851,4.0,True,1,2,1,1,2,1,1
852,3.0,False,1,2,3,1,1,2,2
853,3.0,True,1,2,1,1,3,1,3
854,3.0,True,1,4,2,4,1,1,4
855,3.0,True,1,3,1,1,1,1,3
856,3.0,True,1,2,3,1,3,1,3
857,,True,2,4,4,2,4,4,4
858,3.0,True,1,2,1,2,3,1,3
859,3.0,True,1,2,4,2,2,2,1
860,,False,1,4,2,4,4,3,4
861,2.0,False,1,2,3,2,3,2,2
862,,True,2,4,4,4,4,4,4
863,3.0,True,1,2,4,2,4,2,1
864,,True,2,4,4,4,4,4,4
865,3.0,True,1,4,2,4,3,2,2
866,3.0,True,1,2,1,2,3,1,3
867,1.0,True,1,2,3,3,3,2,3
868,,False,1,4,4,4,4,2,4
869,3.0,True,1,2,1,1,2,2,2
870,3.0,True,1,2,1,3,3,2,2
871,2.0,True,1,2,3,3,3,2,3
872,4.0,True,2,4,4,2,1,2,4
873,3.0,True,1,2,3,2,2,1,2
874,2.0,True,1,3,2,3,3,1,3
875,3.0,True,2,2,2,2,2,2,1
876,2.0,True,1,3,2,2,3,2,3
877,3.0,True,1,2,2,2,2,1,3
878,3.0,True,1,2,2,2,1,1,3
879,3.0,True,1,2,2,3,1,2,1
880,4.0,True,1,1,1,2,3,2,3
881,3.0,True,1,1,3,2,3,2,3
882,,True,2,4,4,4,4,4,4
883,,True,1,4,4,4,4,3,1
884,2.0,True,1,1,3,3,3,2,3
885,3.0,True,2,2,4,2,4,2,1
886,,True,2,4,4,2,4,4,4
887,2.0,True,1,2,3,3,3,1,2
888,,True,2,4,4,2,4,4,4
889,3.0,True,1,2,4,2,2,1,2
890,2.0,True,1,2,1,3,3,1,1
891,3.0,True,1,1,2,3,3,1,2
892,3.0,True,1,2,2,2,3,1,2
893,3.0,True,1,2,2,2,3,1,4
894,4.0,True,1,2,1,1,1,2,3
895,3.0,True,1,2,3,3,1,1,3
896,3.0,True,1,2,2,2,2,1,1
897,2.0,True,1,3,3,1,3,2,3
898,3.0,True,1,3,1,1,3,1,3
899,2.0,True,1,2,3,2,3,2,3
900,,True,1,4,4,4,3,2,4
901,,False,3,4,2,4,4,4,4
902,4.0,True,1,1,3,1,1,1,3
903,3.0,True,1,2,2,1,2,2,2
904,4.0,True,1,3,2,1,1,2,2
905,3.0,True,2,2,4,2,1,2,1
906,3.0,True,1,2,2,2,2,3,2
907,,True,2,4,4,2,1,4,4
908,3.0,True,1,2,1,3,2,2,3
909,1.0,True,1,3,3,3,3,2,2
910,3.0,True,2,2,2,2,2,2,1
911,4.0,True,1,2,2,2,1,2,1
912,3.0,True,1,2,1,3,3,3,1
913,2.0,True,1,3,1,3,3,2,1
914,3.0,True,1,2,3,2,2,2,3
915,2.0,True,1,3,3,2,1,2,3
916,2.0,True,1,2,2,3,3,1,1
917,3.0,True,1,4,2,4,2,1,4
918,4.0,True,1,2,1,1,1,2,1
919,2.0,True,2,2,4,2,3,2,3
920,3.0,True,1,1,1,3,3,2,3
921,3.0,True,1,2,2,2,2,2,1
922,3.0,True,1,2,2,2,2,2,1
923,3.0,True,1,4,3,2,2,2,4
924,3.0,True,1,1,3,2,2,2,3
925,3.0,True,2,2,4,1,3,2,2
926,4.0,True,1,2,1,1,2,2,2
927,4.0,True,1,2,2,1,1,2,3
928,2.0,True,1,3,3,3,3,2,1
929,3.0,True,1,2,1,1,3,1,3
930,3.0,True,1,2,2,1,2,1,1
931,3.0,True,1,2,2,2,3,1,3
932,2.0,True,1,2,3,3,3,1,1
933,,True,2,4,4,4,4,4,4
934,2.0,True,1,1,3,2,3,2,3
935,3.0,True,1,1,2,2,3,2,3
936,3.0,True,2,2,4,2,3,4,4
937,3.0,True,1,2,1,2,3,2,2
938,3.0,True,1,2,1,3,3,2,3
939,3.0,True,1,1,3,2,3,2,2
940,3.0,True,1,2,2,2,3,2,4
941,3.0,True,1,2,1,3,3,1,1
942,5.0,True,1,2,1,1,1,2,2
943,,True,1,4,4,4,4,3,2
944,3.0,False,1,2,2,2,4,2,4
945,3.0,True,2,4,4,2,2,3,2
946,4.0,True,1,2,2,1,2,2,2
947,,True,2,4,4,4,4,4,4
948,2.0,True,1,2,2,2,3,2,3
949,3.0,True,1,3,3,1,2,1,3
950,3.0,True,1,2,3,2,1,1,2
951,3.0,True,1,2,2,2,2,2,1
952,3.0,True,1,2,2,2,3,2,3
953,4.0,True,1,2,1,2,1,2,2
954,5.0,True,1,1,1,1,1,1,3
955,2.0,True,1,2,2,2,2,3,1
956,5.0,False,1,1,1,1,1,3,4
957,4.0,True,1,4,2,4,1,2,4
958,3.0,True,1,2,4,2,4,2,1
959,,False,3,4,4,4,4,4,4
960,,True,2,2,4,2,4,4,4
961,3.0,True,1,1,2,1,3,3,3
962,5.0,True,1,2,4,2,1,2,1
963,3.0,True,1,2,1,1,2,3,3
964,4.0,True,1,1,3,1,3,1,2
965,3.0,True,1,2,2,2,2,2,1
966,3.0,True,1,1,1,2,3,2,2
967,,False,3,4,4,4,4,4,4
968,,True,1,4,4,4,3,3,1
969,,True,1,4,4,4,4,4,4
970,,True,2,4,4,4,4,4,4
971,1.0,True,1,3,3,3,3,1,2
972,3.0,True,1,1,1,3,3,1,1
973,3.0,True,1,2,1,1,3,1,3
974,4.0,True,1,4,2,2,1,2,2
975,4.0,True,1,4,2,4,1,2,2
976,2.0,True,1,2,1,3,3,1,3
977,3.0,True,1,1,1,3,3,1,2
978,3.0,True,1,2,2,2,2,2,2
979,4.0,True,1,1,1,1,3,2,3
980,3.0,True,1,2,2,2,3,1,3
981,2.0,True,1,2,1,3,3,1,3
982,2.0,True,1,2,2,2,3,2,3
983,4.0,False,1,4,2,2,1,2,1
984,4.0,True,1,4,2,4,1,1,4
985,,True,1,4,4,4,4,4,4
986,4.0,True,1,3,1,1,1,1,1
987,3.0,True,1,3,1,1,2,1,2
988,,True,3,4,4,4,4,4,4
989,2.0,True,1,3,3,2,2,3,2
990,3.0,True,1,2,2,2,2,2,2
991,,True,2,4,4,2,4,4,4
992,3.0,True,1,2,1,2,2,1,2
993,4.0,True,1,2,2,2,1,1,2
994,2.0,True,1,2,1,3,3,1,2
995,,True,1,4,4,4,4,3,1
996,2.0,True,1,2,1,3,3,1,2
997,1.0,True,1,3,3,2,3,1,2
998,1.0,True,1,2,1,3,3,3,3
999,2.0,True,1,1,2,3,3,1,2
1000,2.0,True,1,2,1,3,3,2,3
1001,,True,2,2,4,2,4,4,4
1002,2.0,True,1,1,3,3,3,2,3
1003,3.0,True,1,2,2,2,2,2,2
1004,3.0,True,1,2,3,2,2,1,1
1005,,False,3,4,4,4,4,4,4
1006,2.0,True,1,2,2,2,3,2,2
1007,3.0,True,1,2,1,2,3,1,3
1008,4.0,True,1,2,2,2,1,2,1
1009,4.0,True,1,2,2,1,2,1,3
1010,,False,3,4,4,4,4,4,4
1011,3.0,True,1,2,2,3,1,3,2
1012,3.0,True,1,2,1,2,2,2,2
1013,3.0,True,1,2,2,2,3,2,2
1014,2.0,True,1,2,1,3,3,1,3
1015,2.0,True,1,4,3,2,3,2,2
1016,3.0,True,1,2,2,2,2,3,2
1017,2.0,True,1,2,2,2,3,2,1
1018,2.0,True,1,2,3,2,3,2,2
1019,4.0,True,1,2,1,2,1,1,1
1020,,True,2,4,4,4,4,4,4
1021,4.0,True,1,1,1,1,3,2,2
1022,3.0,True,1,2,2,3,2,1,3
1023,3.0,True,1,1,3,2,1,2,3
1024,4.0,True,1,1,3,1,2,2,3
1025,2.0,True,1,2,2,2,3,2,1
1026,4.0,True,2,2,4,2,2,2,4
1027,2.0,True,1,2,3,3,3,2,3
1028,4.0,True,1,1,1,2,1,1,3
1029,3.0,True,1,1,2,2,2,2,2
1030,3.0,True,1,2,2,3,2,2,1
1031,3.0,True,1,3,2,2,2,2,1
1032,3.0,True,1,2,2,3,2,1,3
1033,3.0,True,1,2,1,3,3,1,2
1034,2.0,True,1,2,3,2,2,1,1
1035,,False,1,4,4,4,2,4,4
1036,3.0,True,1,2,1,2,3,1,2
1037,2.0,True,1,2,2,3,3,1,3
1038,3.0,True,1,1,1,3,3,1,2
1039,,True,2,4,4,4,4,4,4
1040,3.0,True,1,2,2,2,3,1,2
1041,3.0,True,1,2,2,2,2,2,1
1042,3.0,True,1,1,1,3,3,2,3
1043,,True,2,4,4,4,4,2,4
1044,2.0,True,1,2,3,2,3,2,3
1045,4.0,True,1,3,1,1,1,1,2
1046,4.0,True,1,2,1,1,1,1,2
1047,3.0,True,1,2,1,2,3,3,2
1048,3.0,True,1,2,1,3,3,2,2
1049,5.0,True,1,1,2,1,1,1,1
1050,3.0,True,1,2,2,2,1,1,2
1051,,False,1,4,4,4,4,4,4
1052,2.0,True,1,2,1,3,3,1,3
1053,3.0,True,1,2,2,2,1,2,2
1054,4.0,True,1,1,1,2,1,1,1
1055,1.0,True,1,2,3,3,3,2,2
1056,3.0,False,1,4,2,2,3,1,4
1057,3.0,False,1,2,2,3,1,1,4
1058,3.0,True,1,3,1,1,2,2,1
1059,5.0,True,1,1,4,1,2,2,1
1060,2.0,True,1,3,1,3,3,1,1
1061,3.0,True,1,2,1,2,3,1,2
1062,3.0,True,1,2,4,2,4,3,2
1063,,True,2,4,4,4,4,4,4
1064,,True,2,4,4,2,4,4,2
1065,2.0,True,1,4,2,2,3,2,3
1066,3.0,True,1,2,4,2,4,2,2
1067,1.0,True,1,3,1,3,3,3,3
1068,3.0,True,1,3,1,3,3,1,2
1069,2.0,True,1,3,2,3,2,1,1
1070,3.0,True,2,2,4,2,4,4,4
1071,3.0,True,1,2,1,3,3,1,2
1072,3.0,True,1,2,1,3,1,1,1
1073,3.0,True,1,2,2,1,3,2,2
1074,2.0,True,1,2,2,2,3,2,2
1075,1.0,True,1,1,3,3,3,3,3
1076,4.0,True,1,1,1,1,3,2,3
1077,4.0,True,1,1,3,1,3,1,3
1078,3.0,True,1,4,2,4,3,1,4
1079,3.0,True,1,2,1,1,3,2,2
1080,3.0,False,1,3,1,2,1,2,2
1081,4.0,True,1,2,3,1,1,3,2
1082,,True,2,4,4,4,4,4,4
1083,2.0,True,1,2,2,3,3,2,3
1084,2.0,True,2,2,4,2,3,3,4
1085,3.0,True,1,2,2,2,3,2,3
1086,2.0,True,1,2,2,3,3,1,1
1087,2.0,True,1,2,3,3,2,1,3
1088,3.0,True,1,2,3,1,1,2,3
1089,3.0,True,1,3,1,3,3,1,2
1090,,True,2,4,4,4,4,3,4
1091,3.0,True,1,3,1,2,1,1,2
1092,3.0,True,1,1,1,3,3,1,2
1093,2.0,True,1,2,3,3,3,1,3
1094,2.0,True,1,2,3,3,3,3,3
1095,,True,3,4,2,4,4,4,4
1096,3.0,True,1,2,1,3,1,2,2
1097,3.0,True,1,2,2,2,3,1,1
1098,,True,1,4,4,4,4,4,4
1099,3.0,True,1,2,4,2,1,3,1
1100,4.0,True,1,2,2,2,2,2,1
1101,2.0,True,1,3,2,3,2,3,2
1102,3.0,True,2,2,4,2,4,2,1
1103,,True,2,4,4,2,4,4,4
1104,3.0,True,1,2,4,2,2,3,1
1105,,True,2,4,4,4,1,2,1
1106,3.0,True,1,2,4,2,2,2,2
1107,2.0,True,1,2,3,2,3,1,3
1108,3.0,True,1,2,4,2,2,2,2
1109,2.0,True,2,2,4,2,2,4,4
1110,3.0,True,1,2,1,1,3,2,3
1111,2.0,True,1,2,3,3,3,1,3
1112,4.0,True,1,2,2,1,1,2,2
1113,2.0,True,1,2,2,2,3,3,3
1114,,False,1,4,4,4,4,4,4
1115,,True,2,4,4,2,4,4,4
1116,3.0,True,1,2,3,1,1,1,1
1117,3.0,True,1,2,2,2,2,1,1
1118,3.0,True,1,2,2,3,2,1,3
1119,3.0,True,1,2,3,1,1,2,3
1120,3.0,True,1,3,1,1,3,1,3
1121,2.0,True,1,3,1,2,3,3,3
1122,4.0,True,1,1,1,3,2,3,2
1123,2.0,True,1,3,1,3,3,1,2
1124,2.0,True,1,3,3,3,3,2,2
1125,,True,2,2,4,2,4,4,4
1126,4.0,True,1,2,2,1,1,2,1
1127,2.0,True,1,4,2,2,3,2,3
1128,,True,3,4,2,4,4,4,4
1129,3.0,True,1,2,3,2,1,1,2
1130,3.0,True,1,3,3,1,3,1,2
1131,3.0,True,1,2,2,2,2,2,1
1132,3.0,True,1,2,4,2,4,3,2
1133,3.0,True,1,3,1,2,1,1,3
1134,2.0,True,1,2,3,3,1,1,2
1135,4.0,True,2,2,4,2,4,2,2
1136,3.0,True,2,2,4,2,2,2,2
1137,2.0,True,1,3,2,2,3,1,3
1138,2.0,True,1,2,2,2,3,3,3
1139,3.0,True,1,2,2,1,1,3,2
1140,3.0,True,2,2,4,2,2,3,4
1141,3.0,True,1,2,2,2,1,2,2
1142,2.0,True,1,4,2,4,3,1,4
1143,2.0,True,1,3,3,3,3,1,2
1144,3.0,True,1,2,2,2,2,2,2
1145,2.0,True,1,2,2,2,2,3,2
1146,2.0,True,1,2,2,2,3,1,2
1147,5.0,True,1,2,2,1,1,2,2
1148,2.0,True,1,3,1,3,3,1,1
1149,3.0,True,2,2,2,2,2,4,4
1150,,True,2,4,4,4,2,4,4
1151,3.0,True,1,2,1,2,2,1,2
1152,3.0,True,1,2,2,2,1,1,1
1153,3.0,True,1,2,2,2,2,1,3
1154,3.0,True,1,2,2,2,2,1,2
1155,2.0,True,1,3,2,3,3,2,3
1156,3.0,True,1,2,2,2,2,2,1
1157,3.0,True,1,1,3,1,2,1,2
1158,,False,1,4,4,4,4,4,4
1159,3.0,True,1,2,4,2,2,2,2
1160,3.0,True,1,4,2,4,2,2,4
1161,,False,1,4,4,2,4,3,4
1162,,True,2,4,4,4,4,4,4
1163,3.0,True,1,3,2,1,2,1,2
1164,2.0,True,1,2,3,2,3,2,4
1165,3.0,True,1,2,2,2,4,3,3
1166,2.0,True,1,2,3,2,3,2,3
1167,2.0,True,1,2,2,2,2,3,2
1168,,False,1,4,4,4,4,4,4
1169,4.0,True,1,2,2,1,1,2,1
1170,3.0,True,1,2,1,3,1,2,3
1171,,True,1,4,4,4,4,3,2
1172,3.0,True,2,2,4,2,2,4,4
1173,,True,2,4,4,2,4,4,4
1174,2.0,True,1,3,1,2,3,2,3
1175,3.0,True,1,2,2,2,3,1,2
1176,3.0,True,1,2,2,2,3,1,3
1177,3.0,True,1,2,3,1,1,1,2
1178,3.0,True,1,4,4,2,4,2,1
1179,3.0,True,1,1,1,1,3,1,2
1180,2.0,True,1,2,3,1,3,2,3
1181,4.0,True,1,2,2,1,1,2,1
1182,5.0,True,1,2,1,1,1,2,3
1183,2.0,True,1,2,2,2,3,3,3
1184,5.0,False,1,4,1,4,1,2,4
1185,3.0,True,1,4,2,4,3,2,3
1186,2.0,True,1,2,2,3,3,1,2
1187,3.0,True,1,2,2,2,3,2,4
1188,2.0,True,1,3,3,2,3,3,3
1189,3.0,True,2,1,4,2,3,4,2
1190,3.0,True,1,3,1,2,2,1,3
1191,4.0,False,1,1,1,1,2,2,2
1192,2.0,True,1,2,3,3,3,1,3
1193,,False,3,4,4,4,4,4,4
1194,3.0,True,1,2,3,2,2,2,2
1195,3.0,True,1,2,2,3,3,1,2
1196,2.0,True,1,3,2,3,3,2,2
1197,3.0,True,1,2,3,1,1,1,2
1198,2.0,True,1,2,3,3,3,1,3
1199,4.0,True,1,2,2,2,1,3,2
1200,3.0,True,1,2,2,3,2,2,1
1201,3.0,True,1,2,2,2,2,2,1
1202,4.0,True,1,2,1,1,3,2,3
1203,,False,1,4,4,4,1,2,4
1204,3.0,True,1,1,3,3,3,2,3
1205,2.0,True,1,2,2,3,2,2,1
1206,4.0,True,1,1,1,3,3,1,3
1207,4.0,True,1,2,1,1,3,1,3
1208,4.0,True,1,2,2,1,2,2,3
1209,3.0,True,1,2,2,1,3,1,2
1210,,True,1,4,4,4,4,2,4
1211,3.0,True,1,2,1,3,3,1,3
1212,,True,3,4,4,4,4,4,4
1213,3.0,True,1,2,2,2,3,2,2
1214,3.0,True,1,2,4,2,2,3,1
1215,4.0,True,2,2,4,2,4,2,4
1216,4.0,True,1,2,1,1,3,1,3
1217,,True,3,4,4,4,4,4,4
1218,3.0,True,1,2,4,2,2,2,2
1219,4.0,True,1,2,3,2,1,1,1
1220,,True,2,4,4,4,4,4,4
1221,2.0,True,1,2,3,2,3,3,3
1222,2.0,True,1,3,2,3,3,1,3
1223,4.0,True,1,1,1,1,2,1,3
1224,3.0,True,1,2,1,2,2,1,2
1225,2.0,True,1,2,1,3,3,2,3
1226,3.0,True,1,2,2,2,2,2,3
1227,4.0,True,2,2,4,2,4,4,4
1228,3.0,True,1,1,3,3,2,2,3
1229,,True,2,4,4,2,4,4,4
1230,3.0,True,1,1,3,3,2,1,3
1231,4.0,True,1,2,2,2,2,2,2
1232,2.0,True,1,4,4,2,3,3,3
1233,2.0,True,1,2,2,3,3,2,3
1234,2.0,True,1,2,2,2,2,3,2
1235,2.0,True,1,2,1,3,3,2,2
1236,2.0,True,1,3,2,3,3,1,1
1237,1.0,True,1,2,1,3,3,1,3
1238,2.0,True,1,4,2,2,3,2,2
1239,,True,2,4,4,4,4,3,4
1240,,True,2,4,4,2,4,4,4
1241,2.0,True,1,2,3,2,3,2,2
1242,2.0,True,1,2,3,3,3,2,2
1243,2.0,True,1,2,2,2,3,2,1
1244,3.0,True,1,2,4,2,2,2,1
1245,1.0,True,1,3,3,2,3,2,3
1246,4.0,True,1,2,3,1,2,1,2
1247,,True,2,4,4,4,4,4,4
1248,2.0,True,1,3,2,2,1,2,1
1249,4.0,True,1,2,3,1,1,2,1
1250,,True,2,2,4,2,4,4,4
1251,2.0,True,1,2,2,2,4,3,1
1252,3.0,True,2,2,4,2,1,3,1
1253,3.0,True,1,2,2,2,4,2,1
1254,,True,2,4,4,2,4,4,4
1255,4.0,True,1,2,1,1,1,2,1
1256,3.0,True,1,2,2,2,1,2,1
1257,,True,2,4,4,4,4,4,4
1258,2.0,True,1,2,1,3,2,2,2
1259,,False,3,4,4,4,4,4,4
1260,3.0,True,2,2,4,2,4,4,2
1261,4.0,True,2,2,4,2,4,2,2
1262,3.0,True,1,1,3,1,2,2,3
1263,2.0,True,1,2,2,3,3,2,3
1264,4.0,False,1,2,4,2,1,3,4
1265,,True,2,4,4,4,4,4,4
1266,3.0,True,1,2,3,2,1,3,2
1267,4.0,True,1,1,1,1,1,1,3
1268,3.0,True,1,2,2,1,3,2,3
1269,3.0,True,2,2,4,2,4,4,4
1270,4.0,True,1,2,2,2,1,2,1
1271,4.0,True,2,2,2,1,1,2,1
1272,4.0,True,1,4,2,4,2,2,4
1273,2.0,True,1,3,2,3,2,1,2
1274,,True,1,4,4,4,4,4,4
1275,2.0,True,1,2,3,3,3,1,1
